id,dt,val,category_1,category_2
1404,1614274459.0224826,0.9901539393125832,a,b
960,1614274459.0224955,0.7037257483597081,b,e
340,1614274459.0225015,0.7091544293385263,b,d
2112,1614274459.0225067,0.17289227749142955,b,e
9727,1614274459.0225122,0.361282823379536,a,e
397,1614274459.022517,0.17100799192352611,e,c
8233,1614274459.0225222,0.5637558291894418,e,c
9118,1614274459.0225272,0.7914186797255199,b,c
5352,1614274459.022532,0.09551961097405048,c,d
2039,1614274459.022537,0.7618934642213654,c,b
4396,1614274459.0225418,0.32457849122612326,d,e
6548,1614274459.022547,0.21159218551555992,d,a
836,1614274459.022552,0.8476583189714689,a,c
597,1614274459.0225573,0.4983984214430469,a,c
9457,1614274459.022562,0.37959057559066967,c,d
7519,1614274459.0225673,0.102867654020948,e,e
3924,1614274459.022572,0.5517392429736818,c,c
2479,1614274459.0225768,0.053326245740902056,a,a
1341,1614274459.0225823,0.8492555887432303,c,d
4883,1614274459.022589,0.8862209768158769,b,b
9118,1614274459.0225937,0.20322189015435,b,d
9334,1614274459.0225987,0.3687694768490454,b,e
1266,1614274459.0226035,0.7539872905643995,b,b
5559,1614274459.0226083,0.7032494882209429,d,d
9717,1614274459.0226135,0.036533348237146934,a,d
7654,1614274459.0226185,0.4698061707065755,c,a
1089,1614274459.0226233,0.4132845077862526,e,e
5551,1614274459.022628,0.05973344349081511,d,d
5964,1614274459.022633,0.09540281909418691,d,d
5933,1614274459.022638,0.47921795978907944,d,a
1674,1614274459.022643,0.47228886624303223,d,c
7264,1614274459.0226483,0.4805539148529353,c,e
8816,1614274459.022653,0.023132660413310524,a,e
4253,1614274459.0226583,0.726931762849288,b,a
7342,1614274459.022663,0.46659562752754447,b,e
2084,1614274459.0226681,0.9514912702477527,d,d
8663,1614274459.022673,0.1649968263611271,e,e
4532,1614274459.0226777,0.3257210929119725,e,b
7873,1614274459.0226827,0.23938688682721143,c,e
5751,1614274459.0226874,0.5318568341245332,d,d
9854,1614274459.0226927,0.3531960470368999,d,a
6654,1614274459.0226974,0.4015852587173987,b,e
4857,1614274459.0227027,0.7797928813591292,b,c
6843,1614274459.0227077,0.6596298904649214,c,d
8427,1614274459.0227125,0.03818984902759648,c,c
1053,1614274459.0227175,0.8015623246383805,d,b
5475,1614274459.0227227,0.8668936537973182,a,e
8299,1614274459.0227277,0.9355543256382657,e,d
5576,1614274459.0227327,0.12598118646295065,e,a
9669,1614274459.022738,0.09358369139920797,d,c
3572,1614274459.0227427,0.5399689423883036,c,a
4911,1614274459.0227478,0.7896750191666244,d,b
1490,1614274459.0227525,0.9696408969560921,c,c
4005,1614274459.0227575,0.8806628288034396,b,a
1821,1614274459.0227625,0.2997200761594757,e,d
4141,1614274459.0227678,0.6865862835132767,e,b
3626,1614274459.0227728,0.9201440363852361,a,c
3550,1614274459.0227776,0.6938086168061793,b,b
3320,1614274459.0227828,0.32674631647119345,b,d
364,1614274459.0227895,0.44220354044094645,c,e
5949,1614274459.0227945,0.603607636970628,b,e
9216,1614274459.0227997,0.37505047016425686,c,a
504,1614274459.0228047,0.39688354515830704,d,d
4605,1614274459.0228095,0.26150940197096295,c,c
1687,1614274459.022815,0.8097799044294908,a,d
3010,1614274459.0228198,0.24383253615133638,c,a
1993,1614274459.022825,0.07513760891038135,d,a
5267,1614274459.0228298,0.46357456843060296,e,b
2785,1614274459.0228348,0.4742189167169605,a,e
7235,1614274459.0228395,0.2739490108828464,c,c
7910,1614274459.0228443,0.9697568525032909,e,c
8634,1614274459.0228496,0.8808432962612203,d,b
7883,1614274459.022854,0.6357018562566753,b,c
2466,1614274459.022859,0.7121465754718259,a,b
4669,1614274459.0228639,0.33683832922996537,e,e
1468,1614274459.022869,0.36438551723019785,e,a
5156,1614274459.022874,0.9621902889186974,e,c
4377,1614274459.022879,0.35699346165720935,a,a
5685,1614274459.022884,0.8375953615656052,b,e
2121,1614274459.0228891,0.5803203122179738,c,b
7411,1614274459.0228944,0.26851207492408324,e,e
4179,1614274459.0228996,0.31482390361656964,c,c
1889,1614274459.0229046,0.861116833865345,a,a
8482,1614274459.0229096,0.6550313124432121,a,b
223,1614274459.0229151,0.3502985003535053,d,c
4881,1614274459.0229201,0.35850148534478576,a,d
3722,1614274459.0229254,0.35551055166508816,d,d
9702,1614274459.0229304,0.17892197716507663,d,c
9923,1614274459.0229356,0.8308567191346827,c,a
708,1614274459.0229404,0.985391130901644,b,c
618,1614274459.0229452,0.45781582890982564,b,e
7437,1614274459.022951,0.011756513545744252,d,e
694,1614274459.0229578,0.45454790851497073,d,d
3937,1614274459.022963,0.24486239715244928,d,a
4624,1614274459.0229678,0.03772047796927047,c,e
2162,1614274459.0229728,0.9772147570309552,a,c
9541,1614274459.023005,0.3490953947990534,a,c
1432,1614274459.0230107,0.5146527678519219,e,c
3061,1614274459.0230155,0.8415852958581389,e,d
3381,1614274459.0230207,0.3677826797790875,b,d
2106,1614274459.023026,0.44496850354283923,e,a
4729,1614274459.0230308,0.18125551578466848,e,e
2002,1614274459.023036,0.5855994699251941,d,c
3313,1614274459.0230408,0.9385987073465418,a,c
1074,1614274459.0230455,0.41045939490821104,b,e
6177,1614274459.0230508,0.8195308351239075,a,c
5708,1614274459.0230575,0.4415993055576135,e,e
7115,1614274459.0230627,0.938238726456908,a,b
7532,1614274459.023068,0.5213263704410661,a,d
